group,member_url
Trường THPT Chi Lăng - Huế ,https://facebook.com/vanhung.phan.5011516
Khi Tôi 18 - Trường THPT Đặng Trần Côn ,https://facebook.com/vanhoa.nguyen.923171
CLB Kỹ Năng Sống Trường THPT Vinh Xuân - VX LSC ,https://facebook.com/vanhoa.doan.357
Đoàn trường THPT Thuận An ,https://facebook.com/vanhieu.nguyen.528316
Trường THPT Tố Hữu ,https://facebook.com/vanhieu.le.798
CLB Cầu Lông Trường ALĐ ,https://facebook.com/vanhiep1507k7
Khi Tôi 18 - Trường THPT Đặng Trần Côn ,https://facebook.com/vanhfbi
WAF Basketball ,https://facebook.com/vanhaii.1224
Đoàn Trường THPT Nguyễn Huệ - Huế ,https://facebook.com/Vanh.parrot
Vi Vu Quốc Học ,https://facebook.com/vang.em.71465
Đoàn Trường THPT Phan Đăng Lưu - Huế ,https://facebook.com/vanessa.22102006
THPT Hương Trà - Hẹn ước tuổi 18 ,https://facebook.com/vanchuc0906
HV Confessions ,https://facebook.com/vananh.truong.1603
HV Confessions ,https://facebook.com/vananh.tranthi.50552
Công Đoàn Trường THPT Đặng Huy Trứ ,https://facebook.com/vananh.dht
THPT Phú Lộc Confessions ,https://facebook.com/vana202
Trường THPT Tố Hữu ,https://facebook.com/van.trungho.1466
Đoàn Trường THPT Tố Hữu - Huyện Quảng Điền - Tỉnh Thừa Thiên Huế ,https://facebook.com/van.tranphuc.940
QH's AMC - CLB Văn hóa Nhật Bản ,https://facebook.com/van.ngocbinh.3
Đoàn Trường THPT Vinh Xuân ,https://facebook.com/van.nc.56
Đoàn Trường THPT Tố Hữu - Huyện Quảng Điền - Tỉnh Thừa Thiên Huế ,https://facebook.com/van.moon.982
Công Đoàn Trường THPT Đặng Huy Trứ ,https://facebook.com/van.hao.3011
THPT Hương Trà - Hẹn ước tuổi 18 ,https://facebook.com/v.tzhao38
HV Confessions ,https://facebook.com/v.truown.24507
An Lương Đông Football Club ,https://facebook.com/v.th.diem.quynh
Nguyễn Trường Tộ Basketball ,https://facebook.com/uynkhanh9225
CLB Âm Nhạc Quốc Học - Huế ,https://facebook.com/uyexth
Khi Tôi 18 - Trường THPT Đặng Trần Côn ,https://facebook.com/uyenvy.le.12
Gia Hội Basketball - CLB Bóng Rổ THPT Gia Hội - Huế ,https://facebook.com/uyenthi27112007
Đoàn Trường THPT Thừa Lưu ,https://facebook.com/uyenphuong.tranle.9
Dự án LĂNG KÍNH ,https://facebook.com/uyennphuongg.0308
THPT Bình Điền Confessions ,https://facebook.com/uyennhi032598
Chiến dịch tình nguyện Hoa Phượng Đỏ - Quốc Học Huế ,https://facebook.com/uyennhi.vohoang
Dự án Tủ sách Điệp anh đào - Trường THPT chuyên Quốc Học Huế ,https://facebook.com/uyennhi.le.33821
Hương Trà Confessions ,https://facebook.com/uyennghi.noel
𝙼𝚞𝚜𝚒𝚌 𝙲𝚘𝚖𝚎𝚍𝚢 ,https://facebook.com/uyenle.2005
Chiến dịch tình nguyện Hoa Phượng Đỏ - Quốc Học Huế ,https://facebook.com/uyenhi310
Windteam - CLB Bóng rổ trường THPT chuyên Quốc Học Huế ,https://facebook.com/uyen.thuc.338211
"CLB Kỹ Năng - Xã Hội, Trường THPT Chuyên Quốc Học - Huế ",https://facebook.com/uyen.mai.50767984
BK FC - THPT Đặng Huy Trứ - Thừa Thiên Huế ,https://facebook.com/Uyen.Han.02
TUỔI TRẺ HƯƠNG THỦY ,https://facebook.com/uyen.doan.94
Đoàn Trường THPT Phan Đăng Lưu - Huế ,https://facebook.com/uyen.bach.710
CLB Âm Nhạc HBT ,https://facebook.com/uth.pieee
Thư Viện Trường THPT Tố Hữu ,https://facebook.com/ut.kung.988
Hương Trà Confessions ,https://facebook.com/ut.chau.3348
CLB Phát thanh Tuổi Hồng - Trường THPT Phong Điền ,https://facebook.com/usagii.theoz
Công Đoàn Trường THPT Đặng Huy Trứ ,https://facebook.com/us73116
HUNT CLUB - THPT Thuận An ,https://facebook.com/urxidach
CLB Âm Nhạc HBT ,https://facebook.com/urfavaries
Công Đoàn Trường THPT Đặng Huy Trứ ,https://facebook.com/urbae.bngoc
𝙼𝚞𝚜𝚒𝚌 𝙲𝚘𝚖𝚎𝚍𝚢 ,https://facebook.com/UNITYm4lu4u
Trường THPT Nguyễn Trường Tộ - Thành phố Huế ,https://facebook.com/ujinkiwis.kenshin
Trường THPT Chi Lăng - Huế ,https://facebook.com/uchiha.andong
Gia Hội Confessions ,https://facebook.com/tyy.pee.5
CLB Âm Nhạc Quốc Học - Huế ,https://facebook.com/tyty.le.96592
The Oratory - Thuan Hoa English Club ,https://facebook.com/tynascarletrose
𝙎𝙈𝘾 - 𝙎𝙠𝙞𝙡𝙡𝙨 & 𝙈𝙚𝙙𝙞𝙖 𝘾𝙡𝙪𝙗 ,https://facebook.com/ty.suri.946
Quoc Hoc Artsy Zone ,https://facebook.com/txunn
Cheetah Volleyball - CLB Bóng Chuyền Quốc Học ,https://facebook.com/twtrm.leimeiy
ThuanHoa Confessions ,https://facebook.com/Twen3k
CLB Bóng rổ The Beast - THPT Bùi Thị Xuân ,https://facebook.com/tvttdo
WAF Basketball ,https://facebook.com/tvtp11052002
Q D 2 9 1 7 - Quốc Học Dance Club ,https://facebook.com/tvmackhanhlinh150905
Thừa Lưu - Những điều chưa nói ,https://facebook.com/tvie.207
Quoc Hoc Artsy Zone ,https://facebook.com/tuyetnhung.nguyenthi.543792
Đoàn Trường THPT Chuyên Khoa học Huế ,https://facebook.com/tuyetnhie.tran
Đoàn TNCS HCM trường PT DTNT Tỉnh Thừa Thiên Huế ,https://facebook.com/tuyetnhi.vuong.750
THPT Bình Điền Confessions ,https://facebook.com/tuyet.voanh.31
Đoàn Trường THPT Nguyễn Huệ - Huế ,https://facebook.com/tuyet.duong.58760
CLB Kỹ năng Thanh niên trường THPT Hà Trung ,https://facebook.com/tuyet.ai.12532
Truong PTDT Tinh Confession ,https://facebook.com/tuyenphong.han
Hương Thủy Confessions ,https://facebook.com/tuyenhi.nguyen.7
Đoàn Trường THPT Chuyên Khoa học Huế ,https://facebook.com/tuyen.nguyenkim.581187
Khi Tôi 18 - Trường THPT Đặng Trần Côn ,https://facebook.com/tuyen.ngo1
Công Đoàn Trường THPT Đặng Huy Trứ ,https://facebook.com/tuyen.hathanh.50
Đoàn trường THPT Bình Điền ,https://facebook.com/tuy.truong.522
HBT Confessions ,https://facebook.com/tuuyen.phan.1422
Đoàn Trường THPT Nguyễn Đình Chiểu - Huế ,https://facebook.com/tutrinh21th7
QH Confessions ,https://facebook.com/tuquynh.tranthi.524
Đoàn Trường THPT Nguyễn Huệ - Huế ,https://facebook.com/tuquyen.hoang.566
WAF Basketball ,https://facebook.com/tuongvy.vothi.58173
THPT Phú Lộc Confessions ,https://facebook.com/tuongvy.lethi.31586
ALĐ Confessions ,https://facebook.com/tuongvy.buinguyen.5661
Đoàn Trường THPT Nguyễn Đình Chiểu - Huế ,https://facebook.com/tuongviiudau.1907
Cao Thắng All Stars - Confession ,https://facebook.com/tuongvi.tranbui
Gia Hội Basketball - CLB Bóng Rổ THPT Gia Hội - Huế ,https://facebook.com/tuongninh.phan.3
Nguyễn Trường Tộ Basketball ,https://facebook.com/tuongnhi.van.7
CLB Cầu Lông Trường ALĐ ,https://facebook.com/tuongminhh.nguyenquy
Windteam - CLB Bóng rổ trường THPT chuyên Quốc Học Huế ,https://facebook.com/tuongg.vy.06
HV Confessions ,https://facebook.com/tuongchuche
HV Confessions ,https://facebook.com/tuongbui.vi.31
Khi Tôi 18 - Trường THPT Đặng Trần Côn ,https://facebook.com/tuong.yst
Trường THPT Chi Lăng - Huế ,https://facebook.com/tuong.van.378537
Đoàn Trường THPT Nguyễn Huệ - Huế ,https://facebook.com/tuong.huy.980
Gia Hội Basketball - CLB Bóng Rổ THPT Gia Hội - Huế ,https://facebook.com/tuong.hoi.5496
Công Đoàn Trường THPT Đặng Huy Trứ ,https://facebook.com/tuong.ha.319452
TUỔI TRẺ HƯƠNG THỦY ,https://facebook.com/tuoitre.dt
Khi Tôi 18 - Trường THPT Đặng Trần Côn ,https://facebook.com/tuogntno2
Đoàn Trường THPT Tam Giang ,https://facebook.com/tunhi.vanthi
Nguyễn Đình Chiểu-Huế Confessions ,https://facebook.com/tunhi.truongthi.79
Đoàn Trường THPT Chuyên Khoa học Huế ,https://facebook.com/tunhi.le.775
TUỔI TRẺ HƯƠNG THỦY ,https://facebook.com/tungllung9
CLB Âm Nhạc HBT ,https://facebook.com/tungduong024
Đoàn Trường THPT Thừa Lưu ,https://facebook.com/TunDzyy141027
Đoàn TNCS HCM trường PT DTNT Tỉnh Thừa Thiên Huế ,https://facebook.com/tun2310
Thừa Lưu - Những điều chưa nói ,https://facebook.com/tumcutilam
Thuận An Confessions ,https://facebook.com/tulinh.tran.716
Gia Hội Confessions ,https://facebook.com/tulensamaz
Hương Thủy Confessions ,https://facebook.com/tuk.su.12
